Datetime,CO2 (ppm),T (°C),RH (%),P (Pa),Ambient Light (ADC),Battery (mV)
2021-09-11 17:38:24.739802,741,25.43,52.47,96474.5,19664,4369
2021-09-11 17:38:44.905978,740,25.43,52.47,96476.47,19680,4369
2021-09-11 17:38:49.903153,740,25.43,52.47,96476.47,19680,4369
2021-09-11 17:38:57.915587,740,25.44,52.51,96477.28,19596,4369
2021-09-11 17:39:06.056803,740,25.44,52.51,96477.28,19596,4369
2021-09-11 17:39:13.958953,741,25.43,52.52,96479.38,19570,4370
2021-09-11 17:39:24.986082,740,25.44,52.54,96478.97,19624,4370
2021-09-11 17:39:48.169359,741,25.43,52.53,96479.38,19658,4369
2021-09-11 17:39:53.168422,741,25.43,52.53,96479.38,19658,4369
2021-09-11 17:39:58.170078,741,25.44,52.54,96480.19,19568,4368
2021-09-11 17:40:03.173762,741,25.44,52.54,96480.19,19568,4368
2021-09-11 17:49:21.598024,713,25.45,52.33,96492.49,19470,4368
2021-09-11 17:49:44.651715,707,25.45,52.32,96491.21,19490,4371
2021-09-11 17:50:47.310495,698,25.44,52.27,96491.68,19486,4369
2021-09-11 17:50:58.348863,698,25.44,52.27,96491.68,19486,4369
2021-09-11 17:51:12.487944,696,25.44,52.26,96490.87,19476,4371
2021-09-11 17:51:17.367790,696,25.44,52.26,96490.87,19476,4371
2021-09-11 17:51:22.381197,693,25.45,52.25,96500.79,19408,4370
2021-09-11 17:51:57.715146,687,25.43,52.23,96491.1,19478,4373
2021-09-11 17:52:05.726165,687,25.43,52.23,96491.1,19478,4373
2021-09-11 17:52:25.896647,680,25.44,52.23,96490.81,19476,4372
2021-09-11 17:52:39.922109,676,25.43,52.21,96492.49,19464,4371
2021-09-11 17:52:44.921029,670,25.43,52.18,96489.94,19460,4372
2021-09-11 17:52:56.070262,670,25.43,52.18,96489.94,19460,4372
2021-09-11 17:53:03.965742,668,25.43,52.18,96493.19,19504,4370
2021-09-11 17:53:14.987586,668,25.43,52.18,96493.19,19504,4370
2021-09-11 17:53:19.979577,668,25.43,52.19,96487.97,19446,4371
2021-09-11 17:53:24.982814,668,25.43,52.19,96487.97,19446,4371
2021-09-11 17:53:29.983294,668,25.43,52.19,96487.97,19446,4371
2021-09-11 17:53:50.148674,669,25.43,52.22,96500.51,19468,4371
2021-09-11 17:53:55.146740,669,25.43,52.22,96500.51,19468,4371
2021-09-11 17:54:00.150374,669,25.43,52.22,96500.51,19468,4371
2021-09-11 17:54:20.316060,669,25.43,52.17,96493.13,19410,4372
2021-09-11 17:54:37.467805,669,25.43,52.16,96491.28,19436,4372
2021-09-11 17:54:45.360521,669,25.43,52.16,96492.84,19474,4371
2021-09-11 17:54:50.358301,669,25.43,52.16,96492.84,19474,4371
2021-09-11 17:54:55.361437,669,25.42,52.17,96492.03,19440,4369
2021-09-11 17:55:00.363555,669,25.42,52.17,96492.03,19440,4369
2021-09-11 17:55:17.530681,668,25.42,52.12,96498.53,19446,4369
2021-09-11 17:55:25.554747,668,25.42,52.12,96498.53,19446,4369
2021-09-11 17:55:45.716569,667,25.42,52.1,96497.03,19428,4372
2021-09-11 17:56:21.053097,666,25.42,52.1,96497.55,19390,4369
2021-09-11 17:56:26.045606,666,25.42,52.1,96497.55,19390,4369
2021-09-11 17:56:46.214958,665,25.41,52.07,96495.34,19382,4370
2021-09-11 17:56:51.213998,663,25.42,52.07,96498.42,19360,4371
2021-09-11 17:56:56.216174,663,25.42,52.07,96498.42,19360,4371
2021-09-11 17:57:07.235467,661,25.41,52.06,96496.33,19394,4371
2021-09-11 17:57:15.259331,661,25.41,52.06,96496.33,19394,4371
2021-09-11 17:57:47.729375,658,25.41,52.04,96496.04,19358,4371
2021-09-11 17:57:52.621319,658,25.41,52.04,96496.04,19358,4371
2021-09-11 17:58:09.896300,656,25.4,52.03,96496.33,19338,4370
2021-09-11 17:58:51.614206,651,25.4,52.02,96500.45,19380,4371
2021-09-11 17:58:56.504376,651,25.4,52.02,96500.45,19380,4371
2021-09-11 17:59:01.506773,651,25.4,52.02,96500.45,19380,4371
2021-09-11 17:59:18.782660,651,25.4,52.03,96498.02,19376,4372
2021-09-11 17:59:35.950514,650,25.4,52.04,96504.57,19340,4371
2021-09-11 17:59:40.839914,651,25.4,52.05,96498.48,19390,4371
2021-09-11 18:00:04.255953,650,25.4,52.06,96499.29,19402,4370
2021-09-11 18:00:30.583413,651,25.39,52.06,96499.87,19358,4370
2021-09-11 18:00:35.586610,651,25.39,52.06,96499.87,19358,4370
2021-09-11 18:00:40.587977,651,25.39,52.06,96499.87,19358,4370
2021-09-11 18:00:45.590735,652,25.39,52.07,96496.8,19352,4372
2021-09-11 18:00:50.592884,652,25.39,52.07,96496.8,19352,4372
2021-09-11 18:00:55.596746,652,25.39,52.07,96496.8,19352,4372
2021-09-11 18:02:01.859852,653,25.39,52.03,96498.89,19368,4371
2021-09-11 18:02:12.887242,653,25.38,52.02,96497.09,19298,4372
2021-09-11 18:02:42.335458,652,25.38,52.02,96496.68,19368,4372
2021-09-11 18:02:53.363602,652,25.38,52.02,96496.68,19368,4372
2021-09-11 18:03:04.397742,651,25.38,52.02,96498.6,19316,4372
2021-09-11 18:03:27.706492,650,25.38,52.02,96499.12,19396,4372
2021-09-11 18:03:32.599073,649,25.37,52.0,96496.63,19442,4369
2021-09-11 18:04:23.588934,642,25.37,51.96,96496.28,19318,4371
2021-09-11 18:04:46.895803,641,25.36,51.95,96497.44,19328,4372
2021-09-11 18:04:57.927082,639,25.37,51.96,96503.88,19330,4371
2021-09-11 18:05:05.836082,639,25.37,51.96,96503.88,19330,4371
2021-09-11 18:09:39.890271,617,25.34,51.92,96492.1,19300,4371
2021-09-11 18:09:57.170131,616,25.34,51.93,96491.52,19288,4371
2021-09-11 18:10:08.199543,614,25.34,51.91,96491.06,19222,4370
2021-09-11 18:10:13.087773,614,25.34,51.91,96491.06,19222,4370
2021-09-11 18:11:19.465802,610,25.34,51.88,96494.66,19234,4371
2021-09-11 18:11:36.645011,608,25.34,51.89,96494.31,19182,4371
2021-09-11 18:11:47.668940,607,25.34,51.93,96492.92,19190,4371
2021-09-11 18:11:58.699468,607,25.34,51.93,96492.92,19190,4371
2021-09-11 18:12:15.760446,607,25.34,51.91,96494.19,19126,4372
2021-09-11 18:12:26.899517,606,25.34,51.93,96495.7,19186,4372
2021-09-11 18:12:37.925896,606,25.33,51.93,96494.37,19184,4370
2021-09-11 18:12:48.955875,606,25.33,51.93,96494.37,19184,4370
2021-09-11 18:12:53.848306,606,25.34,51.92,96494.02,19220,4371
2021-09-11 18:13:08.002228,606,25.34,51.92,96494.02,19220,4371
2021-09-11 18:13:12.894275,607,25.34,51.93,96495.36,19162,4371
2021-09-11 18:13:20.914760,607,25.34,51.93,96495.36,19162,4371
2021-09-11 18:13:25.915527,607,25.33,51.91,96493.67,19144,4373
2021-09-11 18:13:43.199094,607,25.33,51.91,96493.67,19144,4373
2021-09-11 18:13:54.232766,607,25.34,51.91,96494.31,19102,4371
2021-09-11 18:14:11.395979,608,25.34,51.93,96492.57,19104,4371
2021-09-11 18:14:16.287048,609,25.34,51.93,96494.89,19220,4371
2021-09-11 18:14:33.565837,609,25.33,51.93,96493.27,19156,4371
2021-09-11 18:14:38.458736,609,25.33,51.93,96493.27,19156,4371
2021-09-11 18:15:01.895666,610,25.33,51.93,96495.94,19100,4372
2021-09-11 18:15:12.918954,611,25.33,51.93,96494.49,19164,4370
2021-09-11 18:15:17.809960,611,25.33,51.93,96494.49,19164,4370
2021-09-11 18:15:35.091206,613,25.33,51.91,96492.57,19184,4371
2021-09-11 18:15:49.132639,613,25.33,51.91,96492.28,19074,4373
2021-09-11 18:15:54.022574,613,25.33,51.91,96492.28,19074,4373
2021-09-11 18:16:11.302396,615,25.33,51.9,96495.24,19070,4370
2021-09-11 18:16:25.349002,616,25.33,51.9,96494.02,19116,4371
2021-09-11 18:16:36.382189,618,25.33,51.92,96495.01,19022,4370
2021-09-11 18:16:44.287289,618,25.33,51.92,96495.01,19022,4370
2021-09-11 18:16:49.289457,620,25.33,51.93,96493.96,19092,4371
2021-09-11 18:17:03.449645,623,25.33,51.95,96499.94,19080,4370
2021-09-11 18:17:14.592759,623,25.33,51.95,96499.94,19080,4370
2021-09-11 18:17:31.756095,625,25.33,51.93,96496.58,19054,4371
2021-09-11 18:17:36.647006,625,25.33,51.93,96495.07,19030,4367
2021-09-11 18:18:55.200428,630,25.33,51.93,96496.05,19056,4371
2021-09-11 18:19:00.090850,633,25.33,51.96,96497.68,19058,4372
2021-09-11 18:19:44.864711,636,25.33,51.98,96494.89,18988,4371
2021-09-11 18:19:52.917756,637,25.33,51.98,96494.89,19038,4369
